model,model_key,train_accuracy,test_accuracy,performance_gap,fitting_status,fitting_confidence,samples_to_features_ratio,regularization,weight_magnitude,training_converged,training_epochs,training_improvement,learning_curve_gap
Logistic Regression (Custom),lr_custom,0.742631419021574,0.7303543913713405,0.01227702765023353,good_fit,0.6666666666666666,548.5,0.02,1.712739840296468,False,1200.0,-0.015984296820989095,0.01227702765023353
Linear SVM (Custom),svm_custom,0.7353388027955029,0.699537750385208,0.035801052410294854,good_fit,1.0,548.5,0.06,1.1133683242538097,,,,0.025772534610196685
Kernel Logistic Regression (Custom),klr_custom,0.7585840170161046,0.7326656394453005,0.025918377570804063,good_fit,1.0,548.5,0.0,,,,,0.012114329644419386
Kernel SVM (Custom),ksvm_custom,0.7526587663324218,0.726502311248074,0.02615645508434783,good_fit,1.0,548.5,0.0,,,,,0.016937915845568474
