model,model_key,model_type,total_misclassified,misclassification_rate,false_positives,false_negatives,fp_rate,fn_rate,confidence_analysis_available,correct_avg_confidence,misclassified_avg_confidence,confidence_difference,low_confidence_misclassified,boundary_analysis_available,boundary_samples,boundary_percentage,boundary_accuracy,significant_features_count,most_impactful_feature,max_feature_impact,confidence_unavailable_reason,boundary_unavailable_reason
Logistic Regression,lr_custom,logistic,350,0.2696456086286595,0,0,0,0.0,True,0.26478531863269117,0.18544085097639915,0.07934446765629202,95.0,True,240.0,18.489984591679505,0.37083333333333335,5,alcohol,0.5684518047918016,,
Linear SVM,svm_custom,svm,372,0.28659476117103233,0,0,0,0.0,False,,,,,False,,,,7,alcohol,0.573716469105247,No probability data available,No probability data available
Kernel Logistic Regression,klr_custom,logistic,361,0.2781201848998459,0,0,0,0.0,True,0.251777841821658,0.1495749536973041,0.10220288812435391,159.0,True,328.0,25.26964560862866,0.32926829268292684,6,alcohol,0.5031262524064746,,
Kernel SVM,ksvm_custom,svm,423,0.3258859784283513,0,0,0,0.0,True,0.21197603659118705,0.1418438560906658,0.07013218050052125,159.0,True,317.0,24.422187981510017,0.3438485804416404,5,density,0.5480690853717245,,
