model,model_key,model_type,total_misclassified,misclassification_rate,false_positives,false_negatives,fp_rate,fn_rate,confidence_analysis_available,correct_avg_confidence,misclassified_avg_confidence,confidence_difference,low_confidence_misclassified,boundary_analysis_available,boundary_samples,boundary_percentage,boundary_accuracy,significant_features_count,most_impactful_feature,max_feature_impact,confidence_unavailable_reason,boundary_unavailable_reason
Logistic Regression,lr_custom,logistic,350,0.2696456086286595,0,0,0,0.0,True,0.26478531863269117,0.18544085097639915,0.07934446765629202,95.0,True,240.0,18.489984591679505,0.37083333333333335,5,alcohol,0.5684518047918016,,
Linear SVM,svm_custom,svm,371,0.28582434514637906,0,0,0,0.0,False,,,,,False,,,,7,alcohol,0.5999106201200746,No probability data available,No probability data available
Kernel Logistic Regression,klr_custom,logistic,330,0.2542372881355932,0,0,0,0.0,True,0.24804539360159253,0.14791500079843484,0.10013039280315769,153.0,True,352.0,27.11864406779661,0.34375,5,alcohol,0.4382375377054879,,
Kernel SVM,ksvm_custom,svm,397,0.30585516178736516,0,0,0,0.0,True,0.19661331161399745,0.1414322569766607,0.055181054637336746,137.0,True,335.0,25.80893682588598,0.41194029850746267,5,density,0.5090607609935237,,
