model,model_key,train_accuracy,test_accuracy,performance_gap,fitting_status,fitting_confidence,samples_to_features_ratio,regularization,weight_magnitude,training_converged,training_epochs,training_improvement,learning_curve_gap
Logistic Regression,lr_custom,0.7432391370404132,0.7311248073959938,0.012114329644419386,good_fit,0.6666666666666666,548.5,0.05,1.6577200252888316,False,1200.0,-0.09463491831586927,0.021164318431132423
Linear SVM,svm_custom,0.7386812518991188,0.7018489984591679,0.03683225343995089,good_fit,1.0,548.5,0.06,1.1622426296179986,,,,0.054182181501681526
Kernel Logistic Regression,klr_custom,0.7585840170161046,0.7457627118644068,0.01282130515169777,good_fit,1.0,548.5,0.0,,,,,0.014718668226694764
Kernel SVM,ksvm_custom,0.7760559100577332,0.7611710323574731,0.014884877700260146,good_fit,1.0,548.5,0.0,,,,,-0.046265928602964856
