model,model_key,model_type,total_misclassified,misclassification_rate,false_positives,false_negatives,fp_rate,fn_rate,confidence_analysis_available,correct_avg_confidence,misclassified_avg_confidence,confidence_difference,low_confidence_misclassified,boundary_analysis_available,boundary_samples,boundary_percentage,boundary_accuracy,significant_features_count,most_impactful_feature,max_feature_impact,confidence_unavailable_reason,boundary_unavailable_reason
Logistic Regression,lr_custom,logistic,350,0.2696456086286595,0,0,0,0.0,True,0.26478531863269117,0.18544085097639915,0.07934446765629202,95.0,True,240.0,18.489984591679505,0.37083333333333335,5,alcohol,0.5684518047918016,,
Linear SVM,svm_custom,svm,390,0.300462249614792,0,0,0,0.0,False,,,,,False,,,,7,alcohol,0.604289232189159,No probability data available,No probability data available
Kernel Logistic Regression,klr_custom,logistic,329,0.25346687211093993,0,0,0,0.0,True,0.24610765108639127,0.1460364638669233,0.10007118721946798,155.0,True,352.0,27.11864406779661,0.33238636363636365,5,alcohol,0.4235190162066251,,
Kernel SVM,ksvm_custom,svm,398,0.3066255778120185,0,0,0,0.0,True,0.1953473855524177,0.13599885754724433,0.05934852800517337,158.0,True,345.0,26.57935285053929,0.36231884057971014,6,alcohol,0.5569567313335358,,
