model,model_key,train_accuracy,test_accuracy,performance_gap,fitting_status,fitting_confidence,samples_to_features_ratio,regularization,weight_magnitude,training_converged,training_epochs,training_improvement,learning_curve_gap
Logistic Regression,lr_custom,0.742631419021574,0.7303543913713405,0.01227702765023353,good_fit,0.6666666666666666,548.5,0.02,1.712739840296468,False,1200.0,-0.015984296820989095,0.018256120839437395
Linear SVM,svm_custom,0.7353388027955029,0.699537750385208,0.035801052410294854,good_fit,1.0,548.5,0.06,1.1133683242538097,,,,0.056991121604937356
Kernel Logistic Regression,klr_custom,0.7610148890914615,0.7465331278890601,0.01448176120240141,good_fit,1.0,548.5,0.0,,,,,0.014718668226694764
Kernel SVM,ksvm_custom,0.7436949255545426,0.6933744221879815,0.05032050336656113,good_fit,0.6666666666666666,548.5,0.0,,,,,0.020057971991596868
